order(74283,87234)=30241
order(9287,9287)=0123
order(70914,74190)=04321
order(59782,25789)=40231
order(79168,68917)=34120
order(61847,68714)=02413
order(5792,5297)=0321
order(54207,57204)=04231
order(75438,43587)=23140
order(42619,49216)=04132
order(29356,56329)=34201
order(4365,4536)=0312
order(26409,62940)=10423
order(5079,5970)=0321
order(84937,84397)=01324
order(62870,82607)=21043
order(53847,38475)=12340
order(50972,09275)=12430
order(17920,91072)=20413
order(49368,93846)=12403
order(49058,08945)=24103
order(48375,74358)=30241
order(80637,37608)=34210
order(75139,37159)=30214
order(71528,57128)=20134
order(2356,3256)=1023
order(64593,46539)=10243
order(247,427)=102
order(39502,90235)=13402
order(46871,16478)=41032
order(47083,73804)=14320
order(10964,46091)=43120
order(25896,95682)=31420
order(89016,60918)=42130
order(3405,0435)=2103
order(20364,26034)=03124
order(12947,12947)=01234
order(67208,68027)=04321
order(95428,25948)=31024
order(92406,04692)=32401
order(6125,1625)=1023
order(56742,57426)=02341
order(51378,83715)=42310
order(7812,1872)=2103
order(73926,72369)=03142
order(2843,3284)=3012
order(14673,64371)=21430
order(75932,23759)=43012
order(96845,68549)=12430
order(24731,72143)=20413
order(4815,4518)=0321
order(19647,67419)=24301
order(13708,37018)=12304
order(41598,48159)=04123
order(81254,25184)=23104
order(60547,76405)=40312
order(42509,42059)=01324
order(5137,3715)=2310
order(27389,37982)=21430
order(26130,32601)=30142
order(91276,61927)=41023
order(84569,48965)=10432
order(67319,67139)=01324
order(89653,58369)=30421
order(65871,15687)=41023
order(65012,50261)=12403
order(67134,64713)=04123
order(43162,61324)=32140
order(6240,4602)=2031
order(59617,16957)=32104
order(39574,79345)=31042
order(59813,91385)=13420
order(83049,30849)=12034
order(30489,94830)=42301
order(94861,89614)=20341
order(72438,82734)=41032
order(10482,80241)=31420
order(50987,58970)=03241
order(50179,90715)=41320
order(78635,73856)=03142
order(92103,39102)=40231
order(65903,05693)=31024
order(97120,02917)=43021
order(72945,79425)=02314
order(85906,86095)=04321
order(9416,6491)=3102
order(25138,18325)=24301
order(56497,96547)=31024
order(58096,06958)=24301
order(7193,9713)=2013
order(96853,53698)=34102
order(29836,93268)=13042
order(92146,94612)=03421
order(24581,24158)=01423
order(24639,36924)=32401
order(34862,68234)=32401
order(14376,64173)=41032
order(27890,09278)=43012
order(15376,71536)=30124
order(20853,05283)=13024
order(26718,61827)=13402
order(67183,68137)=03241
order(91342,91342)=01234
order(45029,95240)=41302
order(83197,93781)=31402
order(34605,53064)=40321
order(91506,15609)=12430
order(74932,24937)=41230
order(37692,39726)=03142
order(42510,05421)=42013
order(27049,29407)=04321
order(25876,26758)=04312
order(31769,79613)=24310
order(14028,48201)=14320
order(52184,81425)=32410
order(53680,80356)=34102
order(56294,24569)=24013
order(70526,25076)=32104
order(95174,15479)=21430
order(62745,26547)=10432
order(6035,3650)=2031
order(16507,76105)=41032
order(1483,4138)=1032
order(90618,81690)=43201
order(25369,25963)=01432
order(698,869)=201
order(67304,07643)=31042
order(2495,5294)=3021
order(32756,53672)=30421
order(53219,95321)=40123
order(215,512)=210
order(91238,93281)=03241
order(8402,4820)=1032
order(26879,86729)=21304
order(94516,54619)=21430
order(46317,67413)=14032
order(89023,29038)=31240
order(57608,80567)=43021
order(35642,46235)=32401
order(85609,98065)=40321
order(36845,84356)=23041
order(15987,89571)=32140
order(54609,96054)=42301
order(43251,23514)=21340
order(30714,71034)=23104
order(18374,14873)=04132
order(10569,59016)=24103
order(46029,29046)=34201
order(40796,90476)=31024
order(37958,87359)=41032
order(96081,10698)=42103
order(68957,58967)=31204
order(38659,93685)=40213
order(41265,46215)=03214
order(38102,80132)=13204
order(14683,34186)=41032
order(68345,85436)=14320
order(38027,83702)=10423
order(6537,7365)=3201
order(29658,69528)=21304
order(81026,20618)=32410
order(50679,76059)=32104
order(18674,64187)=24013
order(73861,63178)=31402
order(30756,63057)=40132
order(2684,6482)=1320
order(49086,40896)=02314
order(7936,7936)=0123
order(34869,96834)=43201
order(89132,28139)=40231
order(96713,67193)=12304
order(35219,39152)=04312
order(18062,12086)=04213
order(30428,28034)=34102
order(26145,16245)=21034
order(46210,24106)=20341
order(36920,69230)=12304
order(60817,06718)=10432
order(16895,86591)=21430
order(62370,73206)=32140
order(46720,04726)=40231
order(80195,95801)=34012
order(65132,65231)=01432
order(43615,51634)=43210
order(39587,85379)=32041
order(74230,24037)=21430
order(27451,25714)=03142
order(96715,67159)=12340
order(50187,85017)=30124
order(3780,8307)=2031
order(38645,58643)=41230
order(2374,4237)=3012
order(72081,81072)=34201
order(46972,92674)=24130
order(25704,24570)=04123
order(5872,5872)=0123
order(71045,41507)=31420
order(56381,58316)=03241
order(73214,23741)=21043
order(9463,3946)=3012
order(64157,64157)=01234
order(93402,49203)=20431
order(19870,07981)=43120
order(95362,62935)=34021
order(71803,08137)=32140
order(71569,79516)=04213
order(31650,63501)=20341
order(79243,23794)=24013
order(52496,95246)=30124
order(26371,23671)=02134
order(21963,31269)=41032
order(12507,12570)=01243
order(61940,16940)=10234
order(87951,98175)=20413
order(53769,93756)=41203
order(4027,7024)=3120
order(10273,13027)=04123
order(76495,69574)=13402
order(45108,10485)=23041
order(42073,42037)=01243
order(12650,15062)=03421
order(47801,41078)=04312
order(78194,47198)=40231
order(93241,14923)=43021
order(47521,41527)=04231
order(42698,92468)=31024
order(26908,26809)=01432
order(90235,39250)=30241
order(2198,8912)=3210
order(2539,9235)=3021
order(38472,38274)=01432
order(69738,78693)=24013
order(83712,32781)=14203
order(758,875)=201
order(50918,59810)=02431
order(2371,2137)=0312
order(19423,13429)=04231
order(60921,91620)=24031
order(36042,40623)=32140
order(74105,14570)=21403
order(36240,40263)=34210
order(52096,20569)=12043
order(69245,95246)=14230
order(26897,27869)=04213
order(3750,0573)=3210
order(8047,7804)=3012
order(31259,53219)=30214
order(74051,17504)=40321
order(38276,23768)=20341
order(65478,85467)=41203
order(48512,52481)=24013
order(27841,28471)=02314
order(9315,3519)=1320
order(40956,50496)=31024
order(31470,13740)=10324
order(4705,4750)=0132
order(18347,43718)=32401
order(52481,51248)=04123
order(87653,67538)=21340
order(19580,18590)=03214
order(94126,24619)=31420
order(47912,97421)=21043
order(67,76)=10
order(56740,74650)=23104
order(92506,25609)=12430
order(37520,75032)=12403
order(784,784)=012
order(91258,12985)=12043
order(19674,67194)=23014
order(23596,65392)=42130
order(58903,59308)=02431
order(23107,72013)=40321
order(83071,80137)=02413
order(79163,13976)=24103
order(693,396)=210
order(18790,79081)=23410
order(82953,95832)=23041
order(87329,28937)=30421
order(38065,68350)=31042
order(36901,39061)=02314
order(65980,80596)=34120
order(17239,72193)=12043
order(24936,94362)=21340
order(56319,61935)=13420
order(34028,32840)=03412
order(31508,58310)=24013
order(45082,02584)=24130
order(29743,47293)=32014
order(8259,8259)=0123
order(60948,08649)=14032
order(83954,93458)=21430
order(75869,86579)=23104
order(40365,53640)=42301
order(58102,28501)=41032
order(69305,50936)=43120
order(64710,14670)=31024
order(45981,41895)=04321
order(2561,1625)=3201
order(6054,4065)=3102
order(89613,61983)=23104
order(49738,93784)=13240
order(15826,81562)=20143
order(94708,84709)=41230
order(46102,02614)=34120
order(62547,64527)=03214
order(16902,29061)=42310
order(5873,3758)=3201
order(64085,08456)=23140
order(53496,63945)=41320
order(60974,94607)=24013
order(56702,05672)=30124
order(6093,3960)=3201
order(65413,13546)=34120
order(12346,62341)=41230
order(67938,89637)=42031
order(36759,56793)=31240
order(47620,46072)=02413
order(907,790)=201
order(13472,71324)=30142
order(2630,2630)=0123
order(25137,57321)=14302
order(92841,19824)=40213
order(7134,3147)=2130
order(47631,46713)=02143
order(28346,84326)=13204
order(74258,54827)=31420
order(52908,95280)=20143
order(1920,1092)=0312
order(18906,60819)=43102
order(54036,45063)=10243
order(65490,69504)=03142
order(58679,68579)=21034
order(83719,17893)=32041
order(6148,1846)=1320
order(5921,5192)=0312
order(3254,3452)=0321
order(48965,46985)=03214
order(65174,57641)=13042
order(51906,09615)=32410
order(27845,24587)=03421
order(7352,2537)=3210
order(1743,7143)=1023
order(83096,98306)=30124
order(5628,8625)=3120
order(53406,05634)=30412
order(9630,0639)=3120
order(14356,45631)=13420
order(7149,4197)=2130
order(80923,93280)=24301
order(23187,83217)=31024
order(85219,91528)=43120
order(24301,01423)=34102
order(53982,32598)=14023
order(7216,1276)=2103
order(38176,67813)=43120
order(5742,5274)=0312
order(96823,82369)=23410
order(83210,18230)=30214
order(59384,43598)=42013
order(71345,31745)=21034
order(43860,48036)=02413
order(6325,3256)=1230
order(62318,63821)=02413
order(78901,07189)=30412
order(48126,42816)=03124
order(24198,29148)=03214
order(52073,07235)=23140
order(52409,54902)=02431
order(15287,17582)=04132
order(15407,07451)=34210
order(6352,6352)=0123
order(36785,58763)=43210
order(96782,69287)=10432
order(40672,20764)=41320
order(64819,98146)=42310
order(43768,74638)=20314
order(52861,51286)=04123
order(3519,1395)=2031
order(43891,34918)=10342
order(98720,92087)=03412
order(78694,46879)=42103
order(62490,49206)=23140
order(62708,27086)=12340
order(9482,2489)=3120
order(25740,45702)=31240
order(26598,95268)=32014
order(35710,30751)=04213
order(68104,81046)=12340
order(63175,63517)=01423
order(56192,91265)=32410
order(38960,83609)=10342
order(18640,60841)=24130
order(53897,89753)=23401
order(36285,65328)=14023
order(9513,3159)=3210
order(4890,4980)=0213
order(18463,31648)=40321
order(70869,08769)=12034
order(45107,10475)=23041
order(86035,38506)=30421
order(71054,41507)=41320
order(56947,47956)=34201
order(47965,74965)=10234
order(13685,36518)=12403
order(71035,13507)=13420
order(2730,7203)=1032
order(8250,2850)=1023
order(73092,09372)=23104
order(94587,78549)=43210
order(36842,68243)=12430
order(456,456)=012
order(61752,16572)=10324
order(94813,31498)=43102
order(9682,2968)=3012
order(89756,85697)=03412
order(58192,91825)=32140
order(6245,6254)=0132
order(30781,73801)=20314
order(9642,2946)=3021
order(69314,96341)=10243
order(39652,63952)=20134
order(2149,9421)=3201
order(17495,94715)=32104
order(12986,69218)=42103
order(94017,74901)=41023
order(58960,80569)=14032
order(15270,07125)=43021
order(17840,40781)=34120
order(20951,51209)=34012
order(96814,86194)=21304
order(98245,48259)=31240
order(46512,61542)=13204
order(4397,7934)=3210
order(2850,5028)=2301
order(92036,60239)=42130
order(57619,61579)=23014
order(8496,8964)=0231
order(3187,7138)=3102
order(20519,51290)=23041
order(65793,96357)=30412
order(87106,71608)=12430
order(73142,37142)=10234
order(81064,10468)=12430
order(8407,8470)=0132
order(59134,54931)=04132
order(20379,79032)=34120
order(73128,27138)=30214
order(10583,10853)=01324
order(27583,37528)=41203
order(49135,94531)=10432
order(23167,63217)=31024
order(92087,98720)=03412
order(74316,61473)=43102
order(78561,78156)=01423
order(56280,82056)=32401
order(72136,16327)=24310
order(14730,34710)=31204
order(3609,3096)=0231
order(28961,18692)=41320
order(54781,17485)=42130
order(2308,0283)=2031
order(61039,03619)=23014
order(89675,78965)=30124
order(54963,34659)=41302
order(5691,1596)=3021
order(2568,5268)=1023
order(48609,40968)=03421
order(5082,0852)=1203
order(38905,50893)=43120
order(67081,81706)=34120
order(23487,38274)=13042
order(56097,97560)=34012
order(825,285)=102
order(6875,6875)=0123
order(86105,08615)=30124
order(45067,64507)=30124
order(50874,70485)=31420
order(49083,43908)=04123
order(78601,16078)=42301
order(34718,83471)=40123
order(62735,25736)=14230
order(84521,48152)=10423
order(45928,49852)=02413
order(86049,86094)=01243
order(17245,25741)=24130
order(40237,02374)=12340
order(78035,30875)=32104
order(6238,6832)=0321
order(56042,05624)=20143
order(25748,42758)=30214
order(78321,38271)=21304
order(68215,65812)=04132
order(13254,45231)=43210
order(58246,52468)=02341
order(46201,40162)=03412
order(7649,4769)=2013
order(90614,61409)=23410
order(36412,63142)=10324
order(57964,57946)=01243
order(42083,03482)=24031
order(7245,2547)=1320
order(76145,45761)=34012
order(62710,27106)=12340
order(18594,18549)=01243
order(47031,01743)=24103
order(41753,75314)=23410
order(73945,73459)=01342
order(6931,1693)=3012
order(67429,49762)=24103
order(67320,63720)=02134
order(4189,1894)=1230
order(4308,8340)=3102
order(85732,72358)=24310
order(49173,71349)=32401
order(4357,5734)=2310
order(12378,81732)=40321
order(18405,18045)=01324
order(21653,13652)=14230
order(98750,50987)=34012
order(4768,6748)=2103
order(65018,56081)=10243
order(26084,04682)=24130
order(41758,57148)=32104
order(37145,47153)=31240
order(1735,3175)=2013
order(78412,21874)=43102
order(47068,08674)=24310
order(51437,45731)=20431
order(17593,17593)=01234
order(93628,36892)=12403
order(31074,71403)=31420
order(83946,96348)=24130
order(5134,3514)=2013
order(52740,75042)=20431
order(26309,30962)=23410
order(7128,7812)=0312
order(92683,89326)=30412
order(81632,18362)=10324
order(15486,18654)=03412
order(3012,1023)=2130
order(13286,21368)=20143
order(23968,36982)=13240
order(98730,80937)=14032
order(39586,35689)=02431
order(79382,83792)=32014
order(14768,41768)=10234
order(78503,85730)=12043
order(4935,9534)=1320
order(52038,25038)=10234
order(6419,1469)=2103
order(90275,57902)=43012
order(97821,79821)=10234
order(9521,2951)=2013
order(69352,39526)=21340
order(69520,96520)=10234
order(16230,30126)=34021
order(96857,97568)=04312
order(91685,58961)=43021
order(32610,03621)=40213
order(14065,15406)=04123
order(150,015)=201
order(85261,62518)=32140
order(67942,29467)=42301
order(72543,42537)=31240
order(71265,21675)=21304
order(2705,0572)=2310
order(26439,63294)=13042
order(62307,62730)=01423
order(73918,37189)=10342
order(69358,68935)=04123
order(69038,86390)=40312
order(30175,35701)=04312
order(95142,24519)=43120
order(21796,62791)=40231
order(40825,24580)=30421
order(682,862)=102
order(58071,57108)=03421
order(94256,94526)=01324
order(34678,48376)=14032
order(59073,50937)=02143
order(85297,29857)=23014
order(10357,30517)=21304
order(86192,68291)=10432
order(20365,05236)=14023
order(5378,5378)=0123
order(6249,2469)=1203
order(27603,20673)=03214
order(96025,09256)=20341
order(86120,12680)=23104
order(43025,40523)=02431
order(81659,98561)=40321
order(15837,75813)=41203
order(79125,19752)=21043
order(37491,47319)=21043
order(67508,06785)=30142
order(37549,47539)=31204
order(93684,64893)=24301
order(3671,3671)=0123
order(43971,37491)=13024
order(84270,40287)=14203
order(18406,08461)=31240
order(41528,82145)=43102
order(24165,41652)=12340
order(10235,03125)=13024
order(81425,82154)=03142
order(70538,35780)=32041
order(806,086)=102
order(21649,64912)=23410
order(35829,92385)=43021
order(76312,21637)=43120
order(9501,5910)=1032
order(84150,15408)=23140
order(59314,34591)=24013
order(39871,98317)=12043
order(70364,34067)=24130
order(50798,57089)=02143
order(15982,25819)=41302
order(10349,09431)=14320
order(35861,15683)=41320
order(15970,97150)=23014
order(75910,19507)=32140
order(23709,09372)=34120
order(67145,46157)=30241
order(70852,05782)=13024
order(2834,3248)=2031
order(48296,69284)=43210
order(53487,54783)=02431
order(36972,76293)=31420
order(94628,69824)=20431
order(5041,1504)=3012
order(59124,91542)=12043
order(79314,49137)=41320
order(57268,52876)=02413
order(79562,29756)=41023
order(72504,52740)=21043
order(81764,61478)=31420
order(10372,31702)=20314
order(48295,84259)=10243
order(41508,85410)=42013
order(83150,08135)=40213
order(62951,26519)=10342
order(18642,61824)=20143
order(34198,43198)=10234
order(95031,93501)=03124
order(58369,83956)=12403
order(7021,0127)=1320
order(95462,25469)=41230
order(28345,82453)=10342
order(57139,15397)=20341
order(52034,02435)=21430
order(38972,82379)=14032
order(95421,94152)=02413
order(76180,06718)=41023
order(972,972)=012
order(67403,67430)=01243
order(3947,7439)=3201
order(26798,27968)=02314
order(14875,51847)=40213
order(83295,82395)=02134
order(29071,20179)=02431
order(29764,27964)=02134
order(6972,7692)=2013
order(71324,74321)=04231
order(54389,98354)=43201
order(8974,8794)=0213
order(10725,25107)=34012
order(36902,30926)=03241
order(60837,08736)=12430
order(62354,42356)=41230
order(30526,62350)=43021
order(3469,4693)=1230
order(78514,57184)=20314
order(6205,2605)=1023
order(86932,62839)=14032
order(58263,38526)=41023
order(47938,97843)=21403
order(81372,87312)=03214
order(95786,58679)=13420
order(25834,85432)=21430
order(34916,49316)=12034
order(96481,68149)=13420
order(82754,47582)=42301
order(16295,92516)=32401
order(47135,37514)=31420
order(50471,50714)=01342
order(37691,37169)=01423
order(48563,34865)=40132
order(8062,8062)=0123
order(7205,0725)=2013
order(67541,71465)=14302
order(28103,18320)=21403
order(81953,89153)=02134
order(293,329)=201
order(49350,03954)=42130
order(90584,40895)=41302
order(24703,73204)=24031
order(86352,82365)=04213
order(6852,8256)=1320
order(16498,61849)=10423
order(95012,92501)=04123
order(63415,36415)=10234
order(40518,05148)=12304
order(45823,42835)=03241
order(7346,7436)=0213
order(91560,56901)=23041
order(65780,67058)=02413
order(97204,72409)=12430
order(15683,83651)=34210
order(6341,4136)=2310
order(76423,34672)=42103
order(49012,41029)=03241
order(82459,28459)=10234
order(59302,90235)=13420
order(9714,9174)=0213
order(62193,31962)=42301
order(51946,15496)=10324
order(53086,58603)=03421
order(65824,52486)=13420
order(18023,38102)=41023
order(27149,27941)=01432
order(27810,01728)=43102
order(58612,86251)=12403
order(86572,65287)=12403
order(10249,01942)=10432
order(37104,03741)=30142
order(13267,23176)=21043
order(14639,64319)=21304
order(50263,63520)=34021
order(12954,54291)=34120
order(28634,83264)=13024
order(26918,68921)=14203
order(90276,69027)=40123
order(36549,64359)=13024
order(74983,73489)=04132
order(17854,47581)=41320
order(46278,87624)=43120
order(95762,59672)=10324
order(85214,52814)=12034
order(40561,46051)=03124
order(9283,9283)=0123
order(47539,43957)=03421
order(138,183)=021
order(6475,6574)=0321
order(84305,83540)=02413
order(86793,73869)=24013
order(96203,92063)=02314
order(89234,34982)=34102
order(70956,07569)=10342
order(76249,94762)=43012
order(53096,96503)=34021
order(96708,09876)=30421
order(40891,08194)=12430
order(17528,72518)=13204
order(90345,49053)=30142
order(72958,52897)=31420
order(96841,89146)=20431
order(91760,09176)=40123
order(98542,29548)=40231
order(30612,62130)=24301
order(3627,2673)=2130
order(53890,39850)=13204
order(7168,8167)=3120
order(89631,63189)=23401
order(45207,02574)=32140
order(43728,78234)=24310
order(78354,58347)=31240
order(36248,43628)=30124
order(69845,45698)=34012
order(85714,18475)=30421
order(86952,58296)=30421
order(54918,41598)=13024
order(53189,98153)=43201
order(51936,53961)=03241
order(72451,41725)=24013
order(61285,25681)=24031
order(19754,19475)=01423
order(47189,97814)=41320
order(90817,89071)=20143
order(37256,76352)=14032
order(64502,60542)=03214
order(95026,06925)=24031
order(4753,5473)=2013
order(95701,01759)=34210
order(8745,8745)=0123
order(79026,72096)=03214
order(50183,31805)=42310
order(83794,34879)=14023
order(92038,02938)=21034
order(94167,61479)=32140
order(51482,14825)=12340
order(15028,51280)=10342
order(1526,2615)=2301
order(86514,81645)=03142
order(7013,3710)=3021
order(70651,06571)=12304
order(42130,13042)=23401
order(76435,37645)=30124
order(86735,78653)=20143
order(6502,6025)=0231
order(32415,34512)=02431
order(30296,02369)=12043
order(64025,64250)=01342
order(29510,01952)=43120
order(85239,32598)=32140
order(30628,23806)=30412
order(69132,96213)=10423
order(43089,49830)=04312
order(70326,76302)=04213
order(18259,15289)=03214
order(87461,68147)=30421
order(49078,74980)=30142
order(75912,72951)=04213
order(96847,74986)=43021
order(36745,64735)=13204
order(4018,0418)=1023
order(92836,89623)=20413
order(42097,72904)=41320
order(38507,35780)=02413
order(16423,41632)=20143
order(19762,97621)=12340
order(58432,25834)=40132
order(43716,13476)=31024
order(69428,28964)=34102
order(70351,10357)=41230
order(83594,49385)=43102
order(7896,8679)=1302
order(39752,35927)=03142
order(14876,87416)=23104
order(2548,4528)=2103
order(73095,03759)=21043
order(4016,0146)=1203
order(2706,2076)=0213
order(48209,42098)=02341
order(18096,68091)=41230
order(2341,3241)=1023
order(49572,97254)=13420
order(2143,1324)=1302
order(68149,48619)=31024
order(64520,24650)=31024
order(50489,04859)=12304
order(91457,51947)=31024
order(3257,2357)=1023
order(86302,63208)=12430
order(89610,18960)=30124
order(37056,03576)=20314
order(76513,35671)=42103
order(26597,57296)=24031
order(45839,93458)=43012
order(83942,38429)=10342
order(12089,18902)=03421
order(50842,85240)=20431
order(2390,3092)=1320
order(38749,84793)=13240
order(74853,87345)=20413
order(96152,12596)=24301
order(50932,30952)=31204
order(26531,13652)=43120
order(37920,29073)=32410
order(7230,7230)=0123
order(76915,67159)=10342
order(48509,58490)=21043
order(39578,98573)=14230
order(58426,56842)=04123
order(34165,14365)=21034
order(65984,86594)=30124
order(27851,27185)=01423
order(86201,01682)=34102
order(24107,17402)=24130
order(47063,64037)=30241
order(170,107)=021
order(34650,40563)=14320
order(48916,18946)=31204
order(41390,94130)=30124
order(97382,23879)=42310
order(56809,65890)=10243
order(14569,51946)=20413
order(92840,40928)=34012
order(54930,49530)=12034
order(67084,07846)=21340
order(83206,80326)=03124
order(93721,92731)=03214
order(8731,1837)=3021
order(18367,83761)=12430
order(18402,42801)=24130
order(74016,76401)=04123
order(30689,69830)=24301
order(19456,41596)=20314
order(83760,07368)=42130
order(16387,38167)=23014
order(57910,95071)=20413
order(49517,75194)=42310
order(78169,81697)=12340
order(75940,04579)=43102
order(19382,98213)=13402
order(7935,7593)=0312
order(8624,6428)=1320
order(17386,37618)=21403
order(61905,01659)=31042
order(96712,71269)=23410
order(73169,93176)=41203
order(34261,63412)=30142
order(65982,85296)=31420
order(24359,52943)=30412
order(38907,80937)=13204
order(62819,98621)=42013
order(9354,9435)=0312
order(78346,47368)=30241
order(67410,07641)=41023
order(80432,40823)=21043
order(1079,1970)=0321
order(7580,8507)=2130
order(9376,9367)=0132
order(48932,43829)=03142
order(41398,14839)=10423
order(59836,65398)=40312
order(87629,87296)=01342
order(85310,80531)=04123
order(17523,12735)=03142
order(46791,61947)=14302
order(81790,71980)=21304
order(29736,39267)=31042
order(52639,63952)=23401
order(28590,98025)=31402
order(95201,21509)=24130
order(71094,91407)=31420
order(27693,79326)=13402
order(84306,80643)=03412
order(91582,81295)=31402
order(7428,4782)=1032
order(3520,0325)=3021
order(78524,82457)=13420
order(95264,94256)=04213
order(9864,4689)=3210
order(54897,85974)=20341
order(57160,01756)=42103
order(27548,85724)=42103
order(694,964)=102
order(51069,19506)=14023
order(68,68)=01
order(79302,29307)=41230
order(29106,29160)=01243
order(57093,59073)=03214
order(26987,69782)=12430
order(21037,23701)=03421
order(90483,89340)=30421
order(97384,78394)=13204
order(13275,21573)=20431
order(48769,49876)=04123
order(16259,95126)=43021
order(3015,0315)=1023
order(43059,90354)=42130
order(82516,15268)=32140
order(37456,75643)=13420
order(6350,0365)=3102
order(13082,10382)=02134
order(1082,0812)=1203
order(14509,05149)=32014
order(58376,38675)=21430
order(20147,01724)=12403
order(50834,58403)=02413
order(14923,12493)=03124
order(73496,67934)=40312
order(25367,56327)=13204
order(31946,46391)=34021
order(38016,01683)=23410
order(9378,8739)=3210
order(56789,89657)=34102
order(70243,04273)=13204
order(82751,71528)=24310
order(91206,09216)=30214
order(4356,3564)=1230
order(71364,36417)=23410
order(40917,10497)=31024
order(43761,74631)=20314
order(43071,03417)=21043
order(80769,98670)=40321
order(816,681)=201
order(97612,96712)=02134
order(35672,25637)=41203
order(84510,05148)=42310
order(1479,4719)=1203
order(3906,0369)=2031
order(38106,38601)=01432
order(37850,73508)=10342
order(78654,54678)=34201
order(54091,50491)=02134
order(92645,69425)=20314
order(75183,73158)=04213
order(81903,01938)=31240
order(96052,95602)=03124
order(3507,5037)=1203
order(39085,93085)=10234
order(93052,39520)=10342
order(45908,48095)=04321
order(49783,74983)=20134
order(57163,16735)=23140
order(41760,06417)=43012
order(67539,59763)=24103
order(30716,67013)=42130
order(79851,97518)=10342
order(12637,21673)=10243
order(1475,7451)=2130
order(68517,76158)=40321
order(64530,63450)=03124
order(54069,60549)=32014
order(8951,5819)=2031
order(26703,27306)=02431
order(75436,34675)=32401
order(74061,01476)=24103
order(76489,84697)=32140
order(917,197)=102
order(62437,67243)=04123
order(12603,36102)=42031
order(23604,43062)=41320
order(96032,26309)=41320
order(5619,9615)=3120
order(5108,1580)=1032
order(28415,52184)=40312
order(56012,01265)=23410
order(7625,5726)=3021
order(95473,49537)=20143
order(97530,05397)=42301
order(30278,78302)=34012
order(28164,68412)=31420
order(78946,87946)=10234
order(68143,64183)=03214
order(21587,85172)=32140
order(58720,72085)=23410
order(3260,0632)=3201
order(6375,7356)=2130
order(30148,40813)=31420
order(34576,54637)=21403
order(83265,82635)=02314
order(65941,69451)=02314
order(38172,87231)=13402
order(51869,89165)=24130
order(890,890)=012
order(54987,74895)=41320
order(42309,02349)=31204
order(4897,9487)=2013
order(2186,1286)=1023
order(86135,16385)=21304
order(956,569)=120
order(95716,57691)=12403
order(70162,21760)=42031
order(85079,80957)=02413
order(1983,3198)=3012
order(67548,85467)=42301
order(53872,38572)=12034
order(32648,38264)=04123
order(1539,1935)=0321
order(46837,48376)=02341
order(51460,04156)=42103
order(5817,7185)=3210
order(785,587)=210
order(57129,19527)=24031
order(10943,39401)=42310
order(34109,93401)=40132
order(81264,41628)=41320
order(57210,50721)=04123
order(29670,62970)=20134
order(32710,02137)=41302
order(86015,18056)=30241
order(59710,50971)=04123
order(15246,65124)=41023
order(16079,17906)=03421
order(53021,02513)=23041
order(6820,8206)=1230
order(21938,29813)=02413
order(26140,46210)=31024
order(95021,51209)=14320
order(94671,47169)=13420
order(85369,65938)=31420
order(47150,50714)=34120
order(6785,6587)=0321
order(61389,89631)=34021
order(12583,53128)=24013
order(67203,32076)=42310
order(45396,95634)=31420
order(4076,6047)=3102
order(7019,7091)=0132
order(85436,53468)=13240
order(72408,48270)=24103
order(95217,79152)=40312
order(34267,24637)=21304
order(73429,73492)=01243
order(702,027)=120
order(72416,14726)=32014
order(68015,65081)=04213
order(84613,48361)=10423
order(93074,47903)=43021
order(40168,06841)=13402
order(90725,79025)=20134
order(29140,29014)=01423
order(86702,27086)=42301
order(40812,10284)=31420
order(15386,13658)=02413
order(53604,36504)=12034
order(3815,3185)=0213
order(5601,6015)=1230
order(57923,72395)=13420
order(768,786)=021
order(2361,3126)=1302
order(185,581)=210
order(43165,45136)=04213
order(74839,37849)=30214
order(90475,79054)=30142
order(49631,93614)=13240
order(86970,86970)=01234
order(17248,74281)=13240
order(96420,96402)=01243
order(42739,42937)=01432
order(14953,91354)=20431
order(58074,78450)=31402
order(30184,31048)=02143
order(91428,12849)=13420
order(35694,49563)=43120
order(12850,28105)=12043
order(83147,14387)=23104
order(13508,01538)=30214
order(6194,1694)=1023
order(94812,82914)=24031
order(48519,59841)=24103
order(29165,21956)=02143
order(86751,86751)=01234
order(34682,82643)=34210
order(85230,08532)=40132
order(38475,87435)=13204
order(17860,87601)=21340
order(29684,26489)=02431
order(59167,16975)=23140
order(2518,5218)=1023
order(27831,12378)=40312
order(23146,32146)=10234
order(83567,73586)=41203
order(14208,80214)=43201
order(75214,51472)=13402
order(80245,04528)=13420
order(85067,86057)=03214
order(86493,96438)=31240
order(20451,20415)=01243
order(42859,95824)=43210
order(35769,76593)=23140
order(37820,70328)=14032
order(34158,13584)=20341
order(60938,06893)=10423
order(62930,36029)=30412
order(3182,3821)=0231
order(91745,57914)=42013
order(52408,45082)=20341
