order(0,0)=0
order(1,1)=0
order(2,2)=0
order(4,4)=0
order(6,6)=0
order(8,8)=0
order(9,9)=0
order(10,10)=01
order(12,21)=10
order(13,31)=10
order(14,14)=01
order(15,51)=10
order(16,61)=10
order(17,17)=01
order(18,81)=10
order(19,19)=01
order(20,02)=10
order(23,23)=01
order(24,24)=01
order(25,25)=01
order(27,72)=10
order(28,82)=10
order(29,92)=10
order(30,30)=01
order(31,13)=10
order(34,34)=01
order(35,53)=10
order(36,36)=01
order(37,73)=10
order(38,83)=10
order(39,39)=01
order(40,04)=10
order(41,41)=01
order(42,24)=10
order(43,43)=01
order(46,46)=01
order(47,74)=10
order(48,48)=01
order(49,94)=10
order(50,50)=01
order(51,15)=10
order(52,52)=01
order(54,45)=10
order(56,56)=01
order(58,85)=10
order(59,95)=10
order(60,60)=01
order(61,61)=01
order(62,62)=01
order(63,63)=01
order(64,64)=01
order(65,65)=01
order(67,67)=01
order(69,96)=10
order(70,07)=10
order(71,17)=10
order(73,37)=10
order(74,47)=10
order(75,57)=10
order(76,67)=10
order(79,97)=10
order(81,18)=10
order(82,82)=01
order(83,38)=10
order(84,48)=10
order(85,85)=01
order(86,68)=10
order(87,87)=01
order(89,89)=01
order(92,92)=01
order(93,39)=10
order(95,95)=01
order(96,69)=10
order(97,79)=10
order(98,98)=01
order(102,012)=102
order(103,103)=012
order(104,401)=210
order(105,105)=012
order(106,601)=210
order(107,107)=012
order(108,108)=012
order(109,109)=012
order(120,102)=021
order(124,214)=102
order(125,125)=012
order(126,612)=201
order(127,127)=012
order(128,128)=012
order(129,291)=120
order(130,103)=021
order(132,231)=210
order(134,341)=120
order(135,513)=201
order(136,613)=201
order(137,137)=012
order(138,831)=210
order(139,193)=021
order(140,041)=210
order(142,214)=201
order(143,314)=201
order(145,451)=120
order(146,641)=210
order(147,471)=120
order(148,814)=201
order(149,149)=012
order(150,051)=210
order(152,215)=201
order(153,513)=102
order(154,145)=021
order(156,561)=120
order(157,517)=102
order(158,185)=021
order(159,159)=012
order(160,106)=021
order(162,612)=102
order(163,631)=120
order(164,164)=012
order(165,156)=021
order(167,761)=210
order(168,861)=210
order(169,169)=012
order(170,170)=012
order(172,172)=012
order(173,731)=120
order(174,471)=210
order(175,715)=102
order(176,716)=102
order(178,817)=201
order(179,917)=201
order(180,018)=201
order(182,218)=201
order(183,381)=210
order(184,841)=120
order(185,158)=021
order(186,618)=201
order(187,871)=120
order(189,918)=201
order(190,019)=201
order(192,291)=210
order(194,491)=210
order(195,195)=012
order(196,619)=201
order(197,197)=012
order(198,189)=021
order(201,120)=201
order(203,320)=201
order(204,204)=012
order(205,520)=201
order(206,620)=201
order(207,027)=102
order(208,802)=210
order(209,092)=120
order(210,102)=120
order(213,321)=201
order(214,412)=210
order(215,215)=012
order(216,621)=201
order(217,712)=210
order(219,192)=120
order(230,032)=210
order(231,321)=102
order(234,234)=012
order(235,352)=120
order(236,632)=210
order(237,732)=210
order(238,283)=021
order(239,239)=012
order(240,240)=012
order(241,412)=120
order(243,432)=120
order(245,254)=021
order(246,264)=021
order(247,724)=201
order(248,284)=021
order(249,249)=012
order(250,502)=120
order(251,215)=021
order(253,253)=012
order(254,452)=210
order(256,256)=012
order(257,725)=201
order(258,258)=012
order(259,529)=102
order(260,026)=201
order(261,261)=012
order(263,632)=120
order(264,642)=120
order(267,762)=210
order(268,826)=201
order(269,629)=102
order(270,207)=021
order(271,127)=201
order(273,372)=210
order(274,427)=201
order(275,752)=120
order(276,726)=102
order(278,782)=120
order(279,729)=102
order(280,820)=102
order(281,821)=102
order(283,382)=210
order(284,428)=201
order(285,852)=120
order(286,826)=102
order(287,872)=120
order(289,928)=201
order(290,920)=102
order(291,291)=012
order(294,492)=210
order(295,952)=120
order(296,296)=012
order(297,279)=021
order(298,892)=210
order(301,013)=120
order(302,203)=210
order(304,043)=120
order(305,530)=201
order(307,730)=201
order(308,083)=120
order(309,390)=021
order(310,301)=021
order(312,132)=102
order(314,314)=012
order(315,153)=120
order(316,631)=201
order(317,317)=012
order(318,183)=120
order(319,139)=102
order(320,032)=201
order(321,123)=210
order(324,342)=021
order(325,325)=012
order(326,632)=201
order(327,273)=120
order(328,823)=210
order(329,392)=021
order(340,340)=012
order(341,431)=102
order(342,324)=021
order(345,345)=012
order(346,364)=021
order(347,734)=201
order(348,438)=102
order(349,439)=102
order(350,305)=021
order(351,135)=201
order(352,532)=102
order(354,435)=201
order(356,563)=120
order(357,357)=012
order(358,538)=102
order(359,395)=021
order(360,360)=012
order(361,136)=201
order(362,623)=120
order(364,436)=201
order(367,637)=102
order(368,638)=102
order(369,936)=201
order(370,073)=210
order(371,713)=120
order(372,273)=210
order(374,473)=210
order(375,753)=120
order(376,673)=210
order(378,387)=021
order(379,937)=201
order(381,381)=012
order(382,238)=201
