,{},{0},{1},{2},{3},{4},{5},"{0,1}","{1,2}","{2,3}","{3,4}","{4,5}","{0,1,2}","{1,2,3}","{2,3,4}","{3,4,5}"
NoPE (max),,,,,,,,,,,,,97.93,,,
NoPE (avg.),,,,,,,,,,,,,97.93,,,
Original (max),99.23,95.53,91.42,98.4,100.0,99.99,98.14,97.18,92.87,99.81,94.3,100.0,99.42,88.16000000000001,100.0,99.29
Original (avg.),99.23,95.53,91.42,98.4,100.0,99.99,98.14,97.18,92.87,99.81,94.3,100.0,99.42,88.16000000000001,100.0,99.29
NoPE (max),92.9,99.49,99.07,99.28,98.59,99.12,97.34,99.75,94.88,100.0,99.5,99.95,99.45,95.44,96.64,94.16
NoPE (avg.),92.9,99.49,99.07,99.28,98.59,99.12,97.34,99.75,94.88,100.0,99.5,99.95,99.45,95.44,96.64,94.16
Original (max),96.85,99.47,95.92,95.96,99.16,100.0,99.34,96.3,97.28,99.18,99.54,99.39,99.41,88.37,96.49,95.09
Original (avg.),96.85,99.47,95.92,95.96,99.16,100.0,99.34,96.3,97.28,99.18,99.54,99.39,99.41,88.37,96.49,95.09
NoPE (max),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0
NoPE (avg.),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0
Original (max),100.0,100.0,100.0,100.0,100.0,99.4,100.0,99.6,100.0,100.0,100.0,100.0,100.0,99.6,99.8,100.0
Original (avg.),100.0,100.0,100.0,100.0,100.0,99.4,100.0,99.6,100.0,100.0,100.0,100.0,100.0,99.6,99.8,100.0
NoPE (max),99.4,100.0,100.0,100.0,100.0,100.0,99.8,100.0,99.2,100.0,99.8,100.0,100.0,86.6,100.0,100.0
NoPE (avg.),99.4,100.0,100.0,100.0,100.0,100.0,99.8,100.0,99.2,100.0,99.8,100.0,100.0,86.6,100.0,100.0
Original (max),100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,99.6,100.0,99.2,100.0,90.2,33.6,99.2,100.0
Original (avg.),100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,99.6,100.0,99.2,100.0,90.2,33.6,99.2,100.0
